index,회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
14049,우경(주),25920.0,201212.0,199508.0,2013/07/10,0,0,0,-0.44,37.87613093978939
14050,우리바이오(주),82850.0,201112.0,200507.0,,0,0,0,2.25,-76.31148405180052
14051,우리바이오(주),82850.0,201212.0,200507.0,,0,0,0,2.83,85.3143697129737
14052,우리바이오(주),82850.0,201312.0,200507.0,,0,0,0,1.11,65.46281497103108
14053,우리바이오(주),82850.0,201412.0,200507.0,,0,0,0,0.15,25.55754731386838
14054,우리바이오(주),82850.0,201512.0,200507.0,,0,0,0,4.41,43.19454932316706
14055,우리바이오(주),82850.0,201612.0,200507.0,,0,0,0,-1.13,-17.96794717374158
14056,우리바이오(주),82850.0,201712.0,200507.0,,1,0,1,-0.48,-3.839961459202927
14057,우리바이오(주),82850.0,201812.0,200507.0,,1,0,1,-1.37,-13.223998401819948
14058,우리바이오(주),82850.0,201912.0,200507.0,,1,0,1,2.9,30.71374684798868
14059,우리바이오(주),82850.0,202012.0,200507.0,,1,0,1,6.04,-2.945365355965552
14060,우리산업(주),215360.0,201612.0,201505.0,,0,0,0,6.34,31.55406673001476
14061,우리산업(주),215360.0,201712.0,201505.0,,0,0,0,7.5,7.962657206978389
14062,우리산업(주),215360.0,201812.0,201505.0,,0,0,0,8.81,19.10978895190522
14063,우리산업(주),215360.0,201912.0,201505.0,,0,0,0,8.75,-4.205332802192693
14064,우리산업(주),215360.0,202012.0,201505.0,,0,0,0,5.28,-9.335014309473925
14065,우리산업홀딩스(주),72470.0,201112.0,200310.0,,0,0,0,2.79,37.89869342165712
14066,우리산업홀딩스(주),72470.0,201212.0,200310.0,,0,0,0,3.2,21.02670109958486
14067,우리산업홀딩스(주),72470.0,201312.0,200310.0,,0,0,0,4.74,19.45042856914232
14068,우리산업홀딩스(주),72470.0,201412.0,200310.0,,0,0,0,6.9,8.088971168367328
14069,우리산업홀딩스(주),72470.0,201512.0,200310.0,,0,0,0,6.61,-28.20767011778894
14070,우리산업홀딩스(주),72470.0,201612.0,200310.0,,0,0,0,7.74,42.42034637074792
14071,우리산업홀딩스(주),72470.0,201712.0,200310.0,,0,0,0,6.86,3.725613845551725
