회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
(주)고영테크놀러지,98460.0,201412.0,200806.0,,0,0,0,1673.12,27.64669126165815
(주)고영테크놀러지,98460.0,201512.0,200806.0,,0,0,0,2242.05,2.1452654646473266
(주)고영테크놀러지,98460.0,201612.0,200806.0,,0,0,0,2001.96,17.74408756647014
(주)고영테크놀러지,98460.0,201712.0,200806.0,,0,0,0,6141.06,18.379462742206226
(주)고영테크놀러지,98460.0,201812.0,200806.0,,0,0,0,5839.89,17.13157023542068
(주)고영테크놀러지,98460.0,201912.0,200806.0,,0,0,0,112.96,-6.7805327060351015
(주)고영테크놀러지,98460.0,202012.0,200806.0,,0,0,0,61.47,-19.144586434741868
(주)골드앤에스,35290.0,201112.0,199912.0,,0,0,0,1.13,-5.871718808433676
(주)골드앤에스,35290.0,201212.0,199912.0,,0,0,0,-1.91,-7.646234414136156
(주)골드앤에스,35290.0,201312.0,199912.0,,1,0,1,-3.83,-9.889194095106149
(주)골드앤에스,35290.0,201412.0,199912.0,,1,1,1,-1.41,-20.88964750140396
(주)골드앤에스,35290.0,201512.0,199912.0,,1,1,1,1.99,-29.05107241449484
(주)골드앤에스,35290.0,201612.0,199912.0,,1,1,1,2.42,-28.40102468990922
(주)골드앤에스,35290.0,201712.0,199912.0,,1,1,1,-26.15,-19.451097411305533
(주)골드앤에스,35290.0,201812.0,199912.0,,1,1,1,-4.56,-32.1947487254956
(주)골드앤에스,35290.0,201912.0,199912.0,,1,1,1,-1.46,-11.95466549437748
(주)골드앤에스,35290.0,202012.0,199912.0,,1,1,1,-0.98,-45.84712039528268
(주)골드퍼시픽,38530.0,201112.0,200006.0,,0,0,0,14.16,4.840897720989798
(주)골드퍼시픽,38530.0,201212.0,200006.0,,0,0,0,2.66,-6.637732297759396
(주)골드퍼시픽,38530.0,201312.0,200006.0,,0,0,0,-11.34,-31.67668282520488
(주)골드퍼시픽,38530.0,201412.0,200006.0,,1,0,1,-4.33,130.00339572690876
(주)골드퍼시픽,38530.0,201512.0,200006.0,,1,0,1,-9.59,13.03539062869152
(주)골드퍼시픽,38530.0,201612.0,200006.0,,1,1,1,-17.43,-48.54873585380008
(주)골드퍼시픽,38530.0,201712.0,200006.0,,1,1,1,0.62,-47.524128868076055
(주)골드퍼시픽,38530.0,201812.0,200006.0,,1,1,1,-0.68,13.45225491156705
(주)골드퍼시픽,38530.0,201912.0,200006.0,,1,1,1,-0.89,98.36313243864484
(주)골드퍼시픽,38530.0,202012.0,200006.0,,1,1,1,0.18,26.602726720759502
(주)골프존,215000.0,201612.0,201504.0,,0,0,0,59.8,7.642351295521661
(주)골프존,215000.0,201712.0,201504.0,,0,0,0,52.52,-7.770410955363347
(주)골프존,215000.0,201812.0,201504.0,,0,0,0,37.61,-0.6996950370949906
(주)골프존,215000.0,201912.0,201504.0,,0,0,0,32.18,24.31386116660845
(주)골프존,215000.0,202012.0,201504.0,,0,0,0,34.09,20.85109804039096
(주)골프존뉴딘홀딩스,121440.0,201112.0,201105.0,,0,0,0,1101.46,17.083173297837693
(주)골프존뉴딘홀딩스,121440.0,201212.0,201105.0,,0,0,0,31.08,34.21583500358956
(주)골프존뉴딘홀딩스,121440.0,201312.0,201105.0,,0,0,0,25.98,26.066760095038155
(주)골프존뉴딘홀딩스,121440.0,201412.0,201105.0,,0,0,0,22.05,17.655055458910475
(주)골프존뉴딘홀딩스,121440.0,201512.0,201105.0,,0,0,0,-1.54,-61.69915642212015
(주)골프존뉴딘홀딩스,121440.0,201612.0,201105.0,,0,0,0,5.22,47.85506673876903
(주)골프존뉴딘홀딩스,121440.0,201712.0,201105.0,,0,0,0,2.81,-12.13380551409878
(주)골프존뉴딘홀딩스,121440.0,201812.0,201105.0,,0,0,0,0.15,4.3413330344767065
(주)골프존뉴딘홀딩스,121440.0,201912.0,201105.0,,0,0,0,-0.36,2.644787754107001
(주)골프존뉴딘홀딩스,121440.0,202012.0,201105.0,,0,0,0,3.42,27.55793024127989
(주)광림,14200.0,201112.0,199307.0,,0,0,0,4.55,13.978606771657914
(주)광림,14200.0,201212.0,199307.0,,0,0,0,1.71,-19.88142338178612
(주)광림,14200.0,201312.0,199307.0,,0,0,0,6.18,21.23654410827691
(주)광림,14200.0,201412.0,199307.0,,0,0,0,0.7,123.74472088907214
(주)광림,14200.0,201512.0,199307.0,,1,0,1,0.43,2.4958600118384258
(주)광림,14200.0,201612.0,199307.0,,1,0,1,0.16,-63.197916103290034
(주)광림,14200.0,201712.0,199307.0,,1,0,1,-3.19,54.853337344193584
(주)광림,14200.0,201812.0,199307.0,,1,0,1,-0.23,1.0383355445907354
(주)광림,14200.0,201912.0,199307.0,,1,0,1,-2.3,6.785653679152944
(주)광림,14200.0,202012.0,199307.0,,1,0,1,1.07,10.527687866131687
(주)광명전기,17040.0,201112.0,199009.0,,0,0,0,0.38,-0.4313856176915397
(주)광명전기,17040.0,201212.0,199009.0,,0,0,0,3.63,26.881553964886123
(주)광명전기,17040.0,201312.0,199009.0,,0,0,0,11.84,0.5428501311683778
(주)광명전기,17040.0,201412.0,199009.0,,0,0,0,19.42,14.361610036599547
(주)광명전기,17040.0,201512.0,199009.0,,0,0,0,20.92,-13.697619040358452
(주)광명전기,17040.0,201612.0,199009.0,,0,0,0,10.52,-16.65625244993299
(주)광명전기,17040.0,201712.0,199009.0,,0,0,0,5.78,4.763884179215538
(주)광명전기,17040.0,201812.0,199009.0,,0,0,0,3.61,12.356588998752958
(주)광명전기,17040.0,201912.0,199009.0,,0,0,0,21.67,15.558266803027877
(주)광명전기,17040.0,202012.0,199009.0,,0,0,0,20.94,-6.306460033828415
(주)광무,29480.0,201112.0,199608.0,,0,1,1,-3.01,-35.51964560122827
(주)광무,29480.0,201212.0,199608.0,,1,1,1,-2.69,-20.43543304719315
(주)광무,29480.0,201312.0,199608.0,,1,1,1,-8.2,-50.13372331504628
(주)광무,29480.0,201412.0,199608.0,,1,1,1,1.12,87.05147919507851
(주)광무,29480.0,201512.0,199608.0,,1,1,1,-0.8,-54.05194999477605
(주)광무,29480.0,201612.0,199608.0,,1,1,1,1.93,49.75758553435696
(주)광무,29480.0,201712.0,199608.0,,1,1,1,0.32,-18.49796426078181
