회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률,시장구분
(주)우전,052270,201412,200106,42838.0,0,1,1,제조업,1,-2.0353976937624334,-3.903861193977009,-2.295238095238095,-0.1934247061311647,-0.5790874524714829,-0.7624309392265192,-0.5619047619047621,-0.5081967213114753,KOSDAQ
(주)코이즈,121850,201312,201209,,0,0,0,제조업,1,-1.7683931778149844,-1.2015401203938518,-0.7365079365079366,-0.115023298016769,-0.012167300380228,1.2033149171270718,-0.6000000000000002,-0.6885245901639343,KOSDAQ
(주)네오리진,094860,201412,200704,,1,0,1,정보통신업,0,-0.9929528616769407,-2.6208846283546694,-2.295238095238095,-0.6940830541892085,-0.3368821292775665,-0.3867403314917126,-0.2571428571428572,-0.344262295081967,KOSDAQ
(주)조이시티,067000,201312,200805,,0,0,0,정보통신업,0,-2.0353976937624334,-1.326692473800534,-0.9063492063492063,-0.0752154128490437,0.5083650190114068,0.4839779005524861,0.1,-1.0163934426229506,KOSDAQ
한세엠케이(주),069640,201312,201106,,0,0,0,도매 및 소매업,1,-0.1387021952141967,-0.144949711845516,0.2158730158730157,0.8726966345793055,-0.0768060836501901,-0.4861878453038674,1.8142857142857147,0.8032786885245905,KOSPI
한성기업(주),003680,201312,198901,,0,0,0,제조업,1,0.063673410986256,-0.5684472692426926,-0.4301587301587302,-0.6114654895994651,-0.5946768060836501,-0.780110497237569,-0.0761904761904762,0.754098360655738,KOSPI
(주)녹십자엠에스,142280,201612,201412,,0,0,0,제조업,1,-0.3149800745601117,-2.7838391761466497,-1.1634920634920634,-0.3995456375060546,-0.3007604562737642,-0.4430939226519336,-0.0142857142857144,0.0163934426229508,KOSDAQ
대모엔지니어링(주),317850,202012,201907,,0,0,0,제조업,1,-0.5624159418708549,-1.0962698433513214,-0.6952380952380953,-0.0724796867218359,-0.5269961977186312,-0.6408839779005524,-0.5333333333333334,-0.4262295081967212,KOSDAQ
(주)장원테크,174880,201612,201607,,0,0,0,제조업,1,-2.0353976937624334,-0.9619674964605442,0.1825396825396824,0.6758676208733857,1.6984790874524716,1.6795580110497237,0.0904761904761904,0.4754098360655738,KOSDAQ
(주)다우기술,023590,201312,199708,,0,0,0,정보통신업,0,-0.1824910817071195,-0.2721385573320981,-0.446031746031746,1.4390533432483508,-0.4307984790874524,1.295027624309392,-0.8476190476190478,-1.2295081967213113,KOSPI
(주)세코닉스,053450,201612,200108,,0,0,0,제조업,1,1.2730722794893792,0.07857505510058,0.1126984126984126,0.9611881647439264,0.0745247148288973,0.2154696132596685,-0.042857142857143,0.557377049180328,KOSDAQ
휴림로봇(주),090710,201312,200612,,1,0,1,제조업,1,1.722450761476624,0.2364989489940593,-1.83015873015873,-0.4851445295710844,-0.4783269961977185,-0.580110497237569,-0.3476190476190477,-0.4262295081967212,KOSDAQ
(주)드림시큐리티,203650,202012,201410,,0,0,0,정보통신업,0,3.922669333258433,6.030962740106674,0.4428571428571426,0.1666473369309382,-0.406083650190114,-0.2585635359116022,-0.261904761904762,0.4918032786885247,KOSDAQ
에스지이(주),255220,202012,201801,,0,0,0,제조업,1,-0.2323024697685297,-0.712228579092246,-0.3492063492063492,0.621275899003268,-0.441444866920152,-0.2707182320441988,-0.7476190476190478,-0.9344262295081964,KOSDAQ
(주)대창솔루션,096350,201312,200712,,1,0,1,제조업,1,1.809400729511551,-4.771255204949883,-1.0253968253968253,0.2098117738557366,-0.5950570342205322,-0.8044198895027623,-0.6238095238095239,-0.3114754098360655,KOSDAQ
아이이(주),023430,201412,199410,43089.0,0,1,1,도매 및 소매업,1,-2.0353976937624334,-1.5854643565662023,-0.9047619047619048,-0.6940830541892085,-0.314828897338403,-0.0563535911602209,-0.7904761904761907,-1.2295081967213113,KOSDAQ
(주)모나리자,012690,202012,198810,,0,0,0,제조업,1,-0.1715166859633475,2.716789204566043,1.049206349206349,-0.5254163283962914,0.7958174904942965,-0.067403314917127,2.3380952380952387,1.9672131147540988,KOSPI
(주)클래시스,214150,202012,201504,,0,0,0,제조업,1,-0.4295691224562273,-0.0593957099967021,2.519047619047619,0.5220120208215365,4.26615969581749,2.477348066298342,0.7047619047619049,-0.4590163934426228,KOSDAQ
(주)대유에이텍,002880,201312,197702,,0,0,0,제조업,1,0.3649125586028939,-0.3362715287997597,-0.2095238095238095,-0.6301175475340942,-0.2117870722433459,-0.1138121546961326,-0.2904761904761905,0.4918032786885247,KOSPI
태림페이퍼(주),019300,201512,199508,42593.0,0,0,0,제조업,1,-0.1025818904274746,-1.4569593567431751,-0.8285714285714286,-0.0944746518942003,-0.1889733840304182,0.0397790055248619,-0.4904761904761905,0.1803278688524592,KOSPI
