회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률,시장구분
(주)서진오토모티브,122690,201812,201005,,1,0,1,제조업,1,-0.0101583567876717,-0.640963698022014,-1.2042833607907744,0.4675324675324675,-1.2563213139004925,0.638697808234142,-0.1874506708760852,-0.1677704194260486,-0.5161632220455751,-0.4341458164332552,0.1880061545984615,-0.1973094170403588,0.6874999999999999,KOSDAQ
(주)비와이씨,001460,201212,197506,,0,0,0,제조업,1,0.165349392640291,-0.1216477305619826,0.2174629324546952,1.0844155844155845,11.313521373728785,13.140001190915845,0.1349644830307813,0.7549668874172184,0.4207737148913619,0.2521158256470806,0.3567010674550223,-0.493273542600897,-0.2656250000000002,KOSPI
태광산업(주),003240,201812,197512,,0,0,0,제조업,1,0.1272414783066703,0.4817980587575696,0.1787479406919275,-0.6038961038961038,11.313521373728785,13.140001190915845,0.909234411996843,0.6324503311258277,-0.0058293587705352,1.5837814793239988,1.988192457236587,0.3811659192825113,0.1093749999999997,KOSPI
이화공영(주),001840,201812,199411,,0,0,0,건설업,1,-0.7861004399384413,-1.0522095294064344,-0.629324546952224,-0.4025974025974025,-0.2765924523221393,-0.4069991824056139,0.2198105761641674,-0.2649006622516556,-0.6401695813460521,0.0309755929242739,-0.3137014198876509,1.152466367713005,1.4374999999999998,KOSDAQ
모트렉스(주),118990,201812,201708,,0,0,0,제조업,1,-1.0357104322088495,-1.1023306965778783,-0.6630971993410213,0.1623376623376623,-0.3588062148160039,-0.5594015810207512,-0.4218626677190213,-0.3631346578366446,-0.6248012718600955,-0.14291008504292,-0.0927557534289983,-0.5515695067264577,-0.4375000000000002,KOSDAQ
(주)유에스티,263770,201912,201704,,0,0,0,제조업,1,0.0734417324920333,0.1802733177351513,0.0568369028006589,0.0844155844155844,-0.2127180969170028,-0.1131646894560911,-0.1985003946329913,-0.3962472406181015,-0.2506624271330154,0.3383818104123872,0.278829832615352,0.1121076233183856,-0.4375000000000002,KOSDAQ
에스케이커뮤니케이션즈(주),066270,201212,200311,42793.0,0,1,1,정보통신업,0,-1.431300655962196,-4.029712818195541,-2.2545304777594724,-1.0844155844155845,-0.9186425484610532,-0.4873112110529322,-0.5631412786108918,-0.6975717439293598,-1.4753577106518283,-1.7033085668485226,-0.4502195769639748,0.0807174887892375,-0.1093750000000001,KOSDAQ
(주)에이프로젠,007460,201212,199507,,0,1,1,제조업,1,-1.973388654690997,2.224007434131057,-0.6392092257001647,3.720779220779221,-1.0566265814558686,0.1169767974474336,-0.3066298342541436,0.4006622516556291,0.3264440911499736,-1.120970303380158,-0.0886182490070122,-0.8116591928251123,-1.234375,KOSPI
디아이동일(주),001530,201212,196401,,0,0,0,도매 및 소매업,1,-0.5995241825135289,-1.1328664042128278,-0.6565074135090609,0.3506493506493506,-1.9326221208115613,4.930254312449811,-0.3145224940805051,-0.3918322295805739,-0.7175410704822471,-1.3897470437575767,0.5272148045724971,-0.1614349775784755,0.2968749999999999,KOSPI
페이퍼코리아(주),001020,201212,197605,,0,0,0,제조업,1,-0.0354349418413573,2.043166701090382,0.671334431630972,3.720779220779221,-0.2709072619112917,-0.2553503171047894,-0.6101026045777427,-1.0485651214128036,0.2363540010598835,1.8874127842199928,1.5026558667743275,-0.6860986547085204,-0.6562500000000002,KOSPI
엘티씨(주),170920,201812,201310,,0,0,0,제조업,1,2.170734081704379,0.5595614767941011,-0.3311367380560131,0.883116883116883,-0.1598695265965898,0.5494073615584157,-0.0315706393054458,0.3708609271523179,0.0079491255961843,-0.1550474741333645,0.3164007785526994,-0.4125560538116593,-0.1875000000000001,KOSDAQ
(주)에코마케팅,230360,201812,201608,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.714848436545574,1.353159901810659,1.0971993410214167,-0.9350649350649352,0.4626182566767786,0.1376475988557955,0.9727703235990528,1.315673289183223,1.5416004239533654,0.649703319137847,-0.0209227610402522,0.0403587443946187,-0.8750000000000001,KOSDAQ
(주)티케이케미칼,104480,201212,201104,,0,0,0,제조업,1,-0.9785384383763368,-1.78721236923008,-1.2199341021416803,0.2272727272727273,-0.5376999927312712,-0.5442798096254737,-0.7466456195737963,-0.8642384105960265,-0.8728139904610493,-0.5063451481832465,-0.1620751984281307,0.2466367713004484,1.2343749999999998,KOSDAQ
(주)디알젬,263690,201812,201811,,0,0,0,제조업,1,0.5395046992166568,0.0648336376739783,0.9233937397034596,-0.0909090909090909,0.0199804623471387,-0.225286247763638,0.0067087608524072,-0.1920529801324503,0.2591414944356121,-0.3152747069606668,-0.5802051322112853,0.3318385650224215,0.4531249999999997,KOSDAQ
롯데쇼핑(주),023530,201912,200602,,0,0,0,도매 및 소매업,1,-0.2620659207760654,-0.2683208336415486,-0.3484349258649094,1.1493506493506491,-1.9326221208115613,13.140001190915845,-0.3235990528808208,-0.0518763796909493,-0.2639109697933228,-0.4009594391655087,0.4546241583835211,-0.6233183856502243,0.3124999999999999,KOSPI
와이더블유(주),051390,201212,200111,,0,0,0,도매 및 소매업,1,1.958146302655116,-0.5841054135932975,-0.4423393739703459,-2.1818181818181817,-0.0310237571015933,0.0042758035413345,1.1740331491712708,0.6501103752759381,-0.6369899311075783,-0.1753731260544586,0.7017690950087788,0.5784753363228701,-0.2656250000000002,KOSDAQ
금강철강(주),053260,201912,200201,,0,0,0,제조업,1,-0.8179323742552516,0.5575966965162427,-0.4769357495881384,-1.0,-0.1152204549277213,-0.1809737502854496,1.0161799526440412,0.030905077262693,-0.7541070482246954,1.0550386041457995,1.8449917572987533,1.9551569506726465,0.4843749999999997,KOSDAQ
(주)케이프,064820,201212,200705,,0,1,1,제조업,1,-1.696492934490441,-1.0183370488906045,-0.6079077429983525,3.720779220779221,-0.1022733306439419,-0.0785299460200146,-0.2758484609313338,1.184326710816777,2.2496025437201914,0.5279483111449191,1.1443701623049174,-0.8116591928251123,-1.234375,KOSDAQ
애경산업(주),018250,201812,201803,,0,0,0,제조업,1,0.3597792470601965,0.7302378924611672,2.187808896210873,-0.3701298701298701,1.4790169511340518,0.4765043183050133,0.1906077348066298,-0.3465783664459161,0.1065182829888711,0.8765994802807716,-0.280520335010979,2.013452914798207,2.03125,KOSPI
(주)비지에프리테일,282330,201812,201712,,0,0,0,도매 및 소매업,1,3.714848436545574,7.065801766968358,2.187808896210873,-0.2922077922077922,6.542902249950549,9.764057801960824,0.1740331491712708,-0.3123620309050773,-0.5151033386327505,1.5277450570568478,-0.2182812304455827,1.7399103139013457,2.203125,KOSPI
