,회사명,거래소코드,회계년도,영업손익,전기영업손익,당기순이익,전기순이익,매출액,전기매출액,정상영업이익증가율,순이익증가율,매출액증가율
18261,인탑스(주),49070,2017/12,28776700.0,35204819.0,29492497.0,35141346.0,687484774.0,617419001.0,-18.259201957550186,-16.074651779132193,11.348172454446377
18262,인탑스(주),49070,2018/12,34192361.0,28776700.0,37635219.0,29492497.0,715562377.0,687484774.0,18.819604054669227,27.609469622053368,4.084105432129905
18263,인탑스(주),49070,2019/12,70671749.0,34192361.0,60383269.0,37635219.0,910477910.0,715562377.0,106.68870745720074,60.44351701527232,27.239488724544834
18264,인탑스(주),49070,2020/12,64994601.0,70671749.0,54707030.0,60383269.0,777840065.0,910477910.0,-8.033122259362791,-9.400350616989616,-14.567936634508794
18265,인터지스(주),129260,2011/12,22267698.0,,14421504.0,,383977335.0,,,,
18266,인터지스(주),129260,2012/12,17188415.0,22267698.0,545839.0,14421504.0,452021994.0,383977335.0,-22.810094694117012,-96.21510350099408,17.721009236131085
18267,인터지스(주),129260,2013/12,17714578.0,17188415.0,-12081595.0,545839.0,524179328.0,452021994.0,3.061149035556798,-2313.399005933984,15.963235187179853
18268,인터지스(주),129260,2014/12,28704550.0,17714578.0,3611678.0,-12081595.0,577476511.0,524179328.0,62.03914087030468,-434.5147324872261,10.167738434736595
18269,인터지스(주),129260,2015/12,29278951.0,28704550.0,13165320.0,3611678.0,599512015.0,577476511.0,2.001079968158358,264.5208681394078,3.8158268917019207
18270,인터지스(주),129260,2016/12,10729023.0,29278951.0,7372879.0,13165320.0,465397240.0,599512015.0,-63.35584905347189,-43.997722805066644,-22.370656741550043
18271,인터지스(주),129260,2017/12,14905238.0,10729023.0,5912756.0,7372879.0,501965188.0,465397240.0,38.924466841016184,-19.803973454603014,7.857362454491565
18272,인터지스(주),129260,2018/12,9421393.0,14905238.0,-14134691.0,5912756.0,492443106.0,501965188.0,-36.791395078696496,-339.0541906346212,-1.89696063146116
18273,인터지스(주),129260,2019/12,6479330.0,9421393.0,-44027325.0,-14134691.0,478169277.0,492443106.0,-31.227473474463913,211.48417040032922,-2.898574236512918
18274,인터지스(주),129260,2020/12,7656359.0,6479330.0,4606477.0,-44027325.0,458316826.0,478169277.0,18.165906042754422,-1055.769995161161,-4.15176213841108
18275,인포뱅크(주),39290,2011/12,-1976643.0,,3576629.0,,69486676.0,,,,
18276,인포뱅크(주),39290,2012/12,1022194.0,-1976643.0,16332775.0,3576629.0,86873954.0,69486676.0,-293.37258876495065,356.65275878487813,25.022463299294962
18277,인포뱅크(주),39290,2013/12,-4168744.0,1022194.0,-1691551.0,16332775.0,97902883.0,86873954.0,-507.82317250932795,-110.35678872696157,12.69532292728382
18278,인포뱅크(주),39290,2014/12,-2893853.0,-4168744.0,-3632236.0,-1691551.0,99232348.0,97902883.0,-30.58213696979234,114.72814003243177,1.3579426460812192
18279,인포뱅크(주),39290,2015/12,669178.0,-2893853.0,1337699.0,-3632236.0,103303283.0,99232348.0,-532.4489149374307,-371.52864732649124,4.102427365721509
18280,인포뱅크(주),39290,2016/12,561469.0,669178.0,1786913.0,1337699.0,109764572.0,103303283.0,-16.09571743243203,33.58109709284376,6.254679243833906
18281,인포뱅크(주),39290,2017/12,2539518.0,561469.0,1849548.0,1786913.0,119101607.0,109764572.0,352.2988802587498,3.505207024628507,8.506419539448483
18282,인포뱅크(주),39290,2018/12,2380163.0,2539518.0,3153104.0,1849548.0,122037854.0,119101607.0,-6.275009667188813,70.47970639312956,2.4653294560500765
18283,인포뱅크(주),39290,2019/12,794191.0,2380163.0,1179013.0,3153104.0,119477343.0,122037854.0,-66.63291547679717,-62.607861967128265,-2.098128503636257
18284,인포뱅크(주),39290,2020/12,594973.0,794191.0,1605980.0,1179013.0,119604708.0,119477343.0,-25.08439405634161,36.21393487603614,0.10660180148130681
18285,인화정공(주),101930,2011/12,15371099.0,,11555233.0,,84718517.0,,,,
18286,인화정공(주),101930,2012/12,8545182.0,15371099.0,7123035.0,11555233.0,88090855.0,84718517.0,-44.40747535358402,-38.35663028170873,3.9806386129256723
18287,인화정공(주),101930,2013/12,3161358.0,8545182.0,9657048.0,7123035.0,81079026.0,88090855.0,-63.00420517667149,35.57490592142254,-7.9597694902609355
18288,인화정공(주),101930,2014/12,8501559.0,3161358.0,-1941442.0,9657048.0,113844612.0,81079026.0,168.92110921951894,-120.10388681924331,40.411913680364144
18289,인화정공(주),101930,2015/12,7895523.0,8501559.0,8030853.0,-1941442.0,123092696.0,113844612.0,-7.128527838247079,-124.17479189321483,8.123427044575461
18290,인화정공(주),101930,2016/12,-772709.0,7895523.0,-1154754.0,8030853.0,95773760.0,123092696.0,-109.78667277645826,-114.37897070211595,-22.193791254681756
18291,인화정공(주),101930,2017/12,-490192.0,-772709.0,10423568.0,-1154754.0,103511365.0,95773760.0,-36.56188811053062,-111.07829871690768,8.079044823968486
18292,인화정공(주),101930,2018/12,-2025353.0,-490192.0,-1770935.0,10423568.0,99817007.0,103511365.0,313.17544961974085,-116.98971983489723,-3.5690361150198338
18293,인화정공(주),101930,2019/12,2998542.0,-2025353.0,-8467080.0,-1770935.0,129288748.0,99817007.0,-167.54459333902943,378.1135388932965,29.52577109429859
18294,인화정공(주),101930,2020/12,-629694.0,2998542.0,31817708.0,-8467080.0,105747185.0,129288748.0,-121.00000600291743,-126.61121913621183,-18.20851649054564
18295,일동제약(주),249420,2016/12,14792365.0,,12578693.0,,201343779.0,,,,
18296,일동제약(주),249420,2017/12,25360864.0,14792365.0,19841042.0,12578693.0,460650815.0,201343779.0,71.44563428498418,57.73532273981089,128.78820358288797
18297,일동제약(주),249420,2018/12,28343243.0,25360864.0,12720690.0,19841042.0,503907355.0,460650815.0,11.759768910081297,-35.886986177439674,9.390310098550462
18298,일동제약(주),249420,2019/12,-1372528.0,28343243.0,-13443583.0,12720690.0,517467682.0,503907355.0,-104.84252278400182,-205.68281280339355,2.691035736122566
18299,일동제약(주),249420,2020/12,6632844.0,-1372528.0,-13019160.0,-13443583.0,561845100.0,517467682.0,-120.69290337598773,-3.157067576404297,8.575882039334777
18300,일동홀딩스(주),230,2011/12,38691595.0,,27166988.0,,348468343.0,,,,
18301,일동홀딩스(주),230,2012/12,13974704.0,38691595.0,17106605.0,27166988.0,362781056.0,348468343.0,-63.88180947309099,-37.03164664408141,4.107320876490637
18302,일동홀딩스(주),230,2013/12,23803540.0,13974704.0,6740360.0,17106605.0,395231104.0,362781056.0,70.3330532081395,-60.59790940399922,8.944802233554334
18303,일동홀딩스(주),230,2014/12,14462106.0,23803540.0,11934652.0,6740360.0,417517499.0,395231104.0,-39.24388557332229,77.06253078470586,5.638826189145275
18304,일동홀딩스(주),230,2015/12,23726627.0,14462106.0,21330674.0,11934652.0,476385097.0,417517499.0,64.0606630873816,78.7289147601455,14.09943251264781
18305,일동홀딩스(주),230,2016/12,-3510380.0,23726627.0,266191062.0,21330674.0,40771269.0,476385097.0,-114.79510762317796,1147.926164920996,-91.44153138778815
18306,일동홀딩스(주),230,2017/12,1291180.0,-3510380.0,23145.0,266191062.0,41070663.0,40771269.0,-371.8737898666336,-99.99130511752494,0.7343259293695273
18307,일동홀딩스(주),230,2018/12,-674507.0,1291180.0,-3831883.0,23145.0,47050031.0,41070663.0,-152.23957929955546,-16655.98617411968,14.558732592166823
18308,일동홀딩스(주),230,2019/12,-23796281.0,-674507.0,-39954888.0,-3831883.0,292221432.0,47050031.0,3427.9516743339946,942.6959278245187,521.0865875943844
18309,일동홀딩스(주),230,2020/12,-9214716.0,-23796281.0,-31271398.0,-39954888.0,596468914.0,292221432.0,-61.27665495293151,-21.733235743271262,104.11538945576038
18310,일성건설(주),13360,2011/12,6720049.0,,4031217.0,,240440756.0,,,,
18311,일성건설(주),13360,2012/12,-10006577.0,6720049.0,-15479826.0,4031217.0,246862236.0,240440756.0,-248.90631005815584,-483.9988271531897,2.6707119486847732
18312,일성건설(주),13360,2013/12,9550587.0,-10006577.0,-2979053.0,-15479826.0,258476273.0,246862236.0,-204.7744709304255,-80.75525525932915,4.704663292444617
18313,일성건설(주),13360,2014/12,-29299675.0,9550587.0,-37425288.0,-2979053.0,192081993.0,258476273.0,-406.78402280404333,1156.2813753229634,-25.686798726009176
18314,일성건설(주),13360,2015/12,6948829.0,-29299675.0,1924847.0,-37425288.0,231102049.0,192081993.0,-521.6491008772845,-2044.3253411829617,20.314270687518324
18315,일성건설(주),13360,2016/12,8114777.0,6948829.0,2075354.0,1924847.0,285793827.0,231102049.0,16.77905730591442,7.8191669259946375,23.66563958937465
18316,일성건설(주),13360,2017/12,12929385.0,8114777.0,-12023579.0,2075354.0,420833667.0,285793827.0,59.33136548299479,-679.3507517271753,47.25078964004356
