회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,자본집약도_계산,총자본회전률,타인자본회전률,유동자산회전률,재고자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,총자본투자효율,당좌자산회전률
안국약품(주),1540,201612,200006,,0,0,0,제조업,1,3.16,1.31,0.32,99.11,83.86,13341.26458,102.1951448,967.7657214,9998.911245,1968.06,66.92236657,49.43,4.71,24.44,64.5,8.08,9.12,82.44,803.54,23.87,87.2567569,78.95860153,359.8467433,0.88,2.66,1.33,7.61,0.99,239.46,199.14,41.64,21.16,1.61
안국약품(주),1540,201712,200006,,0,0,0,제조업,1,7.74,6.09,0.24,93.32,84.3,14077.13392,628.1410198,1339.011242,10448.44438,2061.03,66.06231547,51.37,12.66,21.3,72.8,7.23,8.19,110.32,1025.64,28.5,68.7365874,104.1196881,418.4615385,0.91,2.71,1.43,9.03,1.0,228.15,194.01,38.77,25.15,1.7
안국약품(주),1540,201812,200006,,0,0,0,제조업,1,10.8,9.32,0.07,91.4,85.42,14241.65316,1010.39899,-92.09862894,11178.06358,2211.2,69.14160608,44.63,21.78,12.38,40.49,3.82,4.38,134.36,1263.43,33.56,68.15891274,120.37508,407.552,0.88,2.73,1.32,8.93,0.95,285.72,244.1,41.24,29.28,1.55
안국약품(주),1540,201912,200006,,0,0,0,제조업,1,1.64,1.72,0.18,98.64,85.21,11949.60421,164.2272676,1692.80448,11268.92095,2233.9,68.06771452,46.91,2.34,15.0,36.04,4.79,6.7,79.84,867.98,24.54,83.39491504,81.27392625,449.2125813,0.72,2.3,1.04,6.9,0.76,270.31,228.55,40.41,17.54,1.22
안국약품(주),1540,202012,200006,,0,0,0,제조업,1,-0.04,-0.9,-0.15,99.48,85.02,10992.14854,-106.4492633,857.9560388,10824.98493,2170.52,71.46368217,39.93,-0.08,28.9,79.95,8.25,11.6,68.94,656.05,23.62,84.5087108,70.30621749,454.1654846,0.68,2.25,1.09,6.21,0.79,249.41,198.67,28.58,16.79,1.32
알리코제약(주),260660,201812,201802,,0,0,0,제조업,1,18.08,2.99,0.17,97.85,25.59,9935.579577,126.9027651,-243.1178955,6413.477045,1202.98,55.65845317,79.67,9.59,6.56,10.2,2.91,3.37,42.68,384.91,12.16,70.09459427,82.18751773,784.1702128,1.13,2.2,2.05,9.42,1.22,176.53,142.97,6.46,10.48,2.61
알리코제약(주),260660,201912,201802,,0,0,0,제조업,1,18.88,15.1,0.47,89.59,35.78,11863.36,1027.719986,1345.517964,7303.463167,1403.18,60.02807737,66.59,12.76,11.38,21.8,4.55,4.66,119.97,753.34,19.03,35.05329391,146.9084667,791.6933333,1.01,2.4,1.74,9.41,1.12,190.04,155.97,32.64,18.56,2.13
알리코제약(주),260660,202012,201802,,0,0,0,제조업,1,14.24,11.25,0.22,92.26,40.85,12707.63029,852.4009642,462.8548883,7897.511346,1531.16,70.33082577,42.19,16.58,27.01,91.11,8.01,7.08,89.26,371.78,18.6,48.14487838,140.6621818,668.4121212,1.09,3.11,1.86,7.93,1.26,238.91,168.79,20.41,21.04,2.42
알보젠코리아(주),2250,201112,197311,43605.0,0,0,0,제조업,1,6.86,4.96,-0.46,91.71,64.99,21104.54569,1115.091729,1512.283316,22746.99531,354.94,70.54418795,41.76,22.54,26.54,55.42,7.82,11.95,161.25,1084.81,46.07,80.51338629,95.18612613,315.6696697,0.7,2.81,1.26,5.88,0.92,236.12,186.45,75.3,30.15,1.6
알보젠코리아(주),2250,201212,197311,43605.0,0,0,0,제조업,1,-2.61,-1.58,-0.73,101.71,38.63,13395.86351,-269.6122238,1051.25577,19058.54127,281.17,79.87603626,25.19,-5.22,21.45,70.94,4.32,7.69,153.9,894.76,47.74,99.52811622,88.34641243,329.5932203,0.59,2.41,0.97,5.28,0.76,719.1,603.9,305.29,26.8,1.18
알보젠코리아(주),2250,201312,197311,43605.0,0,0,0,제조업,1,5.13,2.15,-1.12,91.06,44.01,14485.32204,414.34454,617.9923624,19429.29898,288.58,78.83088765,26.85,14.44,16.0,57.89,3.39,5.76,189.3,814.42,45.73,74.65543415,99.96697531,371.9814815,0.6,2.89,0.89,5.98,0.76,505.94,436.18,273.88,26.87,1.04
알보젠코리아(주),2250,201412,197311,43605.0,0,0,0,제조업,1,-6.17,-5.9,-0.58,117.46,19.67,5503.65435,-901.2594281,-1213.98918,15614.62455,205.68,57.62645917,73.53,-17.56,-10.8,-16.47,-4.58,-13.66,61.75,253.68,34.87,140.1915535,65.92846386,869.4036145,0.26,0.58,0.57,2.15,0.42,302.14,222.54,49.8,7.24,0.77
알보젠코리아(주),2250,201512,197311,43605.0,0,0,0,제조업,1,10.96,6.5,3.01,90.08,22.89,13985.29515,1032.197884,3208.290542,16128.37393,222.57,60.53768596,65.19,3.68,10.7,17.07,4.22,8.04,173.25,634.07,38.99,57.44053153,88.22282401,430.9918145,0.55,1.45,1.83,8.07,1.39,311.98,238.59,111.68,20.47,2.37
알보젠코리아(주),2250,201612,197311,43605.0,0,0,0,제조업,1,15.78,4.46,2.26,93.29,26.27,15279.50218,731.7842873,4096.571811,16723.2505,234.46,59.65158291,67.64,6.62,32.29,59.6,13.03,23.9,195.01,768.77,37.82,66.73090962,91.86529491,445.6233244,0.56,1.4,1.51,6.68,1.16,355.03,277.82,183.01,20.62,1.95
알보젠코리아(주),2250,201712,197311,43605.0,0,0,0,제조업,1,13.9,5.92,3.69,90.7,35.6,16027.84054,927.6168286,1879.499376,14628.87005,249.61,56.6055257,76.66,3.41,26.64,46.19,11.56,18.64,241.99,1015.16,42.06,60.49549016,123.1838059,472.1879815,0.59,1.42,1.6,7.3,1.21,259.38,201.81,122.31,26.09,2.05
알보젠코리아(주),2250,201812,197311,43605.0,0,0,0,제조업,1,12.05,5.44,2.45,92.16,33.04,16337.77006,895.1712619,2193.67449,18292.07512,265.84,78.33642099,27.65,4.54,40.26,0.0,8.72,12.47,252.15,1098.23,40.82,65.7507648,130.72,457.6694215,0.66,2.01,1.95,7.46,1.41,255.93,176.63,86.14,28.56,2.64
알서포트(주),131370,201412,201101,,0,0,0,정보통신업,0,1.02,-0.86,-2.91,97.37,19.59,694.7452343,-8.656584405,47.07182858,1017.983282,928.7,90.94804609,9.95,8.46,53.38,350.81,4.83,13.78,468.25,985.57,34.5,85.14346857,25.67490291,282.2038835,0.35,3.34,0.51,365.04,0.42,666.45,665.48,146.95,12.1,0.56
알서포트(주),131370,201512,201101,,0,0,0,정보통신업,0,-4.95,-4.47,-2.89,108.9,16.86,694.7452343,-44.50303765,-39.53278238,1000.092308,886.55,92.00529945,8.48,-21.04,4.78,120.48,0.36,1.08,1006.54,2825.7,65.0,100.8929579,47.0328,251.2311111,0.32,3.88,0.56,313.52,0.49,742.19,740.57,246.33,21.65,0.56
알서포트(주),131370,201612,201101,,0,0,0,정보통신업,0,-0.46,0.66,-1.5,96.81,16.97,694.7452343,3.004613562,9.180209849,960.4430564,899.21,90.82868639,10.1,-19.67,-15.76,-40.41,-1.45,-3.77,1596.74,4746.37,65.0,82.78519041,47.65473451,244.9070796,0.38,4.6,0.7,225.34,0.62,750.78,747.75,287.47,26.08,0.7
알서포트(주),131370,201712,201101,,0,0,0,정보통신업,0,6.9,5.51,-2.66,80.71,10.23,694.7452343,50.47800346,48.28098058,889.5549997,866.42,90.1080853,10.98,186.63,28.46,139.13,2.82,6.63,1880.24,8703.76,64.36,77.79141476,58.10970149,256.9502488,0.42,4.39,0.71,179.45,0.63,831.34,828.07,274.25,27.33,0.72
알서포트(주),131370,201812,201101,,0,0,0,정보통신업,0,10.68,9.73,-2.91,76.99,17.95,694.7452343,93.39011487,-9.112137791,979.6669361,962.07,91.15681354,9.7,337.18,20.04,126.46,1.77,4.22,1880.24,24112.74,65.0,58.62552246,90.62,302.287234,0.44,4.67,0.72,68.13,0.64,713.93,701.5,209.72,32.78,0.73
알서포트(주),131370,201912,201101,,0,0,0,정보통신업,0,10.03,14.87,-2.84,74.95,27.9,694.7452343,166.5343116,105.1941027,1097.01896,1115.87,78.91866417,26.71,39.57,15.45,22.43,3.26,8.98,149.23,17043.37,65.0,54.4709372,98.75452381,348.3095238,0.41,2.62,0.8,58.18,0.69,615.75,609.36,138.75,31.28,0.81
