,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,이자보상배율,CASH FLOW 대 부채비율,설비투자효율,부가가치율,종업원1인당부가가치율_계산,재고자산회전률
162,(주)녹십자웰빙,234690,201912,201910,,0,0,0,제조업,1,78.45578966,0.377106408,95.66329653,24.22804376,0.0,-9.328033646,8.51,0.0,6.48,321.0509458,305.0234235,116.86,23.06,478.57,35.57,116.724902,6.45
163,(주)녹십자홀딩스,5250,201212,197608,,0,0,0,"전문, 과학 및 기술 서비스업",0,-20.81814264,57.90014162,8.603521717,4.721837105,20.0,-10.84418787,10.52,0.55,30.66,1818.876485,742.7109382,11.58,16.15,42.34,19.26,635.1887037,3.96
164,(주)녹십자홀딩스,5250,201812,197608,,0,0,0,"전문, 과학 및 기술 서비스업",0,2.651781241,-72.60081567,0.934173375,5.679045534,9.78,-55.94249996,1.25,0.95,9.13,391.1532733,759.8204754,2.81,7.75,39.52,22.11,256.7893564,3.34
165,(주)녹십자홀딩스,5250,201912,197608,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.526460342,-257.2664007,3.680341891,-1.544230163,-3.47,-38.41815396,-2.0,0.99,8.21,-615.1526742,154.4190136,1.65,1.79,35.48,20.85,356.3293846,3.44
166,(주)녹원씨엔아이,65560,201212,200307,,0,0,0,제조업,1,-7.117853121,-644.9153756,-10.74194731,-10.89795218,-14.46,-215.0360003,-17.02,0.55,-74.4,-403.3264472,-286.8634262,-4.75,-14.98,154.29,22.9,8.481408451,59.05
167,(주)농심,4370,201212,197606,,0,0,0,제조업,1,-5.24060366,-110.9283278,-3.943192948,0.222358186,1.54,-16.35982805,-0.42,-0.74,2.87,-1506.979533,4772.083249,26.75,10.82,35.52,17.29,72.22152832,14.32
168,(주)농심,4370,201812,197606,,0,0,0,제조업,1,3.362921618,-7.039684314,3.077097831,1.275917095,0.98,-8.117511151,3.77,-0.42,4.53,13859.38002,24146.20094,24.29,19.72,50.92,24.32,89.81155947,11.94
169,(주)농심,4370,201912,197606,,0,0,0,제조업,1,4.768944522,-15.69684635,2.265477077,4.80705581,2.57,-11.00265068,3.03,-0.35,2.98,11683.89443,26708.71309,13.82,21.71,49.24,24.15,88.4479973,11.41
170,(주)농심홀딩스,72710,201212,200307,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.123372316,-64.3938365,-0.68537248,-2.987527657,0.0,-64.05001876,4.83,1.23,3.73,3273.955483,6259.738798,4.41,7.76,39.41,22.45,686.434,9.3
171,(주)농심홀딩스,72710,201812,200307,,0,0,0,"전문, 과학 및 기술 서비스업",0,4.320539357,14.92115007,3.778185259,9.388988358,20.0,-12.65011519,8.61,0.32,9.52,10084.58361,3356.462453,13.34,12.43,49.27,18.41,686.434,8.97
