,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,노동소득분배율
80,(주)골드퍼시픽,38530,201312,200006,,0,0,0,도매 및 소매업,1,12.8125743,-26.87745177,-31.67668283,-20.0,-417.5185649,-16.92,-9.98,3.84,-38.58,155.04,-13.34,-11.04,0.0
81,(주)골드퍼시픽,38530,201412,200006,,1,0,1,도매 및 소매업,1,24.52316837,2.327935416,79.59517381,-28.87,5.185560046,-16.92,-9.98,4.47,-42.67,133.18,-16.38,-11.04,163.5949843
82,(주)골프존,215000,201612,201504,,0,0,0,정보통신업,0,5.491410362,10.83536375,7.642351296,0.0,-8.349679173,17.6,20.35,-0.16,35.88,159.04,52.38,16.24,38.25217543
83,(주)골프존,215000,202012,201504,,0,0,0,정보통신업,0,17.50115471,12.76117057,20.85109804,6.78,59.68085326,11.03,15.17,0.08,63.5,145.96,44.77,21.26,42.68815257
84,(주)골프존뉴딘홀딩스,121440,201312,201105,,0,0,0,도매 및 소매업,1,17.91700237,3.135515963,26.0667601,-18.47,16.6464771,0.48,13.66,-1.06,56.9,133.05,29.23,17.08,36.30745717
85,(주)골프존뉴딘홀딩스,121440,201412,201105,,0,0,0,도매 및 소매업,1,19.4715245,14.56670033,17.65505546,-9.15,27.21429761,11.32,14.63,-0.01,61.36,91.84,16.73,10.73,31.16636253
86,(주)골프존뉴딘홀딩스,121440,201512,201105,,0,0,0,도매 및 소매업,1,0.693920812,13.35862317,-37.25156403,-28.87,-109.1310114,17.6,-1.22,2.22,91.0,93.81,3.13,4.11,116.4913652
87,(주)골프존뉴딘홀딩스,121440,201612,201105,,0,0,0,도매 및 소매업,1,-0.853907211,-4.221015334,47.85506674,15.49,125.2650537,0.38,4.84,2.11,37.03,70.74,0.14,0.13,60.01723851
88,(주)골프존뉴딘홀딩스,121440,202012,201105,,0,0,0,도매 및 소매업,1,2.496735188,4.983007195,27.55793024,-16.67,112.0847891,3.62,3.82,2.76,33.97,187.91,4.79,5.35,34.28240506
89,(주)광림,14200,201312,199307,,0,0,0,제조업,1,13.17483025,2.038552162,21.23654411,11.86,150.5267929,1.7,3.46,-0.07,35.42,236.97,23.49,8.36,76.77606741
90,(주)광림,14200,201412,199307,,0,0,0,제조업,1,74.29506522,99.0389109,79.59517381,0.0,-33.99136855,-0.1,0.89,1.02,36.85,174.84,-5.47,-2.74,82.3400411
91,(주)광림,14200,201512,199307,,1,0,1,제조업,1,-19.85291941,-26.87745177,2.495860012,9.22,-39.29666148,6.92,1.0,1.0,0.0,105.95,-4.77,-1.32,59.02876626
92,(주)광명전기,17040,201312,199009,,0,0,0,제조업,1,-7.747019985,10.8830515,0.542850131,2.23,157.4528804,5.14,8.56,0.38,27.92,171.73,6.43,2.79,50.49156102
93,(주)광명전기,17040,201412,199009,,0,0,0,제조업,1,14.61347064,12.66806894,14.36161004,5.46,15.58393219,7.02,9.6,0.05,33.54,175.86,12.19,5.41,41.98499169
94,(주)광명전기,17040,201512,199009,,0,0,0,제조업,1,-5.139571957,11.60580273,-13.69761904,1.04,-25.03331418,6.59,6.92,-0.04,37.48,220.4,34.34,12.88,48.28653958
95,(주)광명전기,17040,201612,199009,,0,0,0,제조업,1,11.71610896,11.65217052,-16.65625245,3.08,-61.2856324,8.33,2.6,0.06,49.34,166.95,23.57,11.86,57.47802005
96,(주)광명전기,17040,202012,199009,,0,0,0,제조업,1,5.852738615,4.163561162,-6.306460034,17.53,-46.93814812,2.81,2.63,-0.15,57.76,206.7,22.97,10.43,63.64591423
97,(주)광주신세계,37710,201312,200202,,0,0,0,도매 및 소매업,1,52.40590828,13.0179537,-3.365945369,34.93,-3.787852592,8.94,10.3,-2.61,12.04,51.85,22.95,27.51,19.89620942
98,(주)광주신세계,37710,201412,200202,,0,0,0,도매 및 소매업,1,-0.54804421,9.77122496,-0.86454806,-1.27,-7.406136821,6.45,7.92,-1.71,9.39,51.85,26.34,26.26,23.77463877
99,(주)광주신세계,37710,201512,200202,,0,0,0,도매 및 소매업,1,1.032000052,9.53042676,0.249697221,-4.11,5.665520866,7.0,8.35,-2.48,9.14,51.85,30.44,24.92,23.02823062
100,(주)광주신세계,37710,201612,200202,,0,0,0,도매 및 소매업,1,-0.605377,8.732410861,2.479742407,-2.68,2.327758183,6.93,8.52,-2.61,8.44,51.85,42.18,24.3,22.57791628
101,(주)광주신세계,37710,202012,200202,,0,0,0,도매 및 소매업,1,4.253609376,5.607775344,-4.759210993,-1.15,-12.32636836,5.62,6.29,-2.61,6.13,201.12,72.56,29.22,14.40516458
102,(주)구영테크,53270,201312,200202,,0,0,0,제조업,1,-7.404202716,6.369975586,10.88544718,23.15,0.05630305,1.4,4.83,2.9,43.71,60.26,10.36,6.61,58.86888205
103,(주)구영테크,53270,201412,200202,,0,0,0,제조업,1,4.440827378,33.79750433,-1.284316336,9.4,-27.4154211,1.47,3.57,2.19,33.75,71.98,6.97,4.24,62.81215277
104,(주)구영테크,53270,201512,200202,,0,0,0,제조업,1,3.512001066,8.021583547,0.911491763,-1.72,13.00421516,2.62,3.87,1.72,39.36,85.48,9.87,6.02,63.47875143
105,(주)구영테크,53270,201612,200202,,0,0,0,제조업,1,3.358028946,2.445103008,-13.81975281,-0.7,-29.4155102,1.55,2.64,1.41,43.25,80.61,16.79,12.34,64.76925558
106,(주)구영테크,53270,202012,200202,,0,0,0,제조업,1,2.516072128,-3.063548933,-14.811494,3.63,-43.91021487,0.35,1.4,1.41,43.87,72.48,9.08,6.57,57.7664335
107,(주)국동,5320,201312,199612,,0,0,0,도매 및 소매업,1,10.98998672,63.56418613,7.011137348,8.33,-18.70937502,5.78,7.95,1.02,45.01,94.81,2.23,0.87,70.55707795
108,(주)국동,5320,201412,199612,,0,0,0,도매 및 소매업,1,22.22159593,85.82258482,25.85301996,3.08,83.79326231,10.96,12.51,0.99,51.17,137.88,-1.99,-0.65,66.98582536
109,(주)국동,5320,201512,199612,,0,0,0,도매 및 소매업,1,5.026418428,9.03212351,-8.48556334,8.96,-14.71316727,5.72,9.46,1.24,57.12,142.25,3.11,1.14,71.37683285
110,(주)국동,5320,201612,199612,,0,0,0,도매 및 소매업,1,32.3897579,65.64894891,15.89740463,-1.37,22.03947072,5.7,9.7,0.98,42.86,173.77,3.22,1.18,62.27599606
111,(주)국동,5320,202012,199612,,0,0,0,도매 및 소매업,1,35.12985871,28.02919115,13.6024046,-7.5,115.9810187,6.79,16.91,1.64,6.25,157.79,15.42,5.9,47.2075789
112,(주)국보디자인,66620,201312,200209,,0,0,0,건설업,1,37.71055304,13.95570574,36.94676481,7.55,12.06060264,9.91,10.66,-1.07,76.52,172.74,28.49,10.85,72.55174843
113,(주)국보디자인,66620,201412,200209,,0,0,0,건설업,1,3.213152301,13.34311502,7.861720949,0.0,13.41544403,8.42,10.27,-0.94,78.65,197.66,28.97,9.47,73.37752329
114,(주)국보디자인,66620,201512,200209,,0,0,0,건설업,1,6.876639592,12.04625559,9.204643859,5.96,-4.173664771,7.89,9.37,-0.78,79.61,196.06,22.03,6.61,75.42834143
115,(주)국보디자인,66620,201612,200209,,0,0,0,건설업,1,12.30607731,4.347104349,4.569649905,16.56,-17.77231754,7.17,7.02,-0.76,86.03,192.59,17.51,6.22,78.35938206
116,(주)국보디자인,66620,202012,200209,,0,0,0,건설업,1,20.99330122,34.58088187,7.11248623,2.72,122.7429543,8.17,10.47,-0.55,79.72,110.11,19.53,6.99,68.75164876
