,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,자기자본회전률,순운전자본회전률
61,(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.579555216,4.274764453,-5.53596676,-11.11,-1.044982685,4.01,-0.19,3602.595799,188.1,133.44,56.38,9.78,4.8,13.37,1.170981598,0.99
62,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,-1.333292015,-1.52208437,0.0,-22.75182731,3.13,-0.24,4488.598092,208.24,148.81,50.39,13.86,6.1,13.74,1.137101739,1.0
63,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,12.77307699,3.889017186,0.0,146.5975508,7.68,-0.28,7574.453828,263.0,201.03,41.85,16.84,6.68,17.68,1.117909751,1.06
64,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,0.107472354,-4.653343476,0.0,-55.25201112,3.3,-0.3,640.9665634,247.45,198.81,44.37,19.44,8.59,10.42,1.004986321,0.94
65,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,-0.757692402,-1.921580134,-12.5,-16.11155647,2.78,-0.3,1633.789921,264.63,216.54,41.26,19.79,8.22,10.27,0.988891988,0.91
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,-1.054283563,-7.084474287,42.86,19.81125792,3.41,-0.48,4522.376874,306.08,248.36,40.62,19.09,8.32,13.41,0.927229548,0.88
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,8.159352782,7.907406791,0.0,73.81535328,5.81,-0.61,7636.787021,312.26,255.6,37.56,17.86,7.21,14.32,0.966451768,0.94
68,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-0.516871344,-5.049873056,-10.0,0.640743452,5.64,-0.43,4777.35308,269.15,222.26,40.37,26.84,12.21,11.94,0.885322319,0.85
69,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-22.36308992,-31.51271657,-38.67458151,-30.12,-45.16695439,4.14,2.05,3709.57162,70.06,54.61,173.19,-0.52,-0.29,10.01,3.114760781,1.39
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-21.36301621,3.21981614,-4.34,-275.105282,-7.98,1.78,-2238.020276,62.81,55.08,236.31,4.3,2.49,-2.76,3.599534971,1.68
71,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,-22.36308992,-31.51271657,-38.67458151,-30.12,-134.1164185,-10.89,3.01,-2238.020276,62.06,54.71,8.48,10.3,7.79,-3.59,4.913660911,0.83
72,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,42.93297362,41.81268227,16.27230507,-2.78,-27.43072417,2.63,1.36,284.86675,110.8,62.71,101.53,-6.46,-2.87,11.18,2.281846843,1.55
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,0.246987287,-2.543926198,1.27,-48.04523837,1.19,1.78,7.328294118,113.94,61.44,142.04,-2.31,-1.48,9.11,2.221055481,1.32
74,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-0.604258967,-8.964950568,-0.1006749,-2.51,-230.532425,-1.42,2.24,-1108.657222,141.27,66.03,164.27,-5.0,-3.38,7.37,2.320083244,1.27
75,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,27.48236786,36.62566069,29.67804843,23.23,23.63744105,13.88,-0.44,550.8066155,207.38,207.27,33.47,61.1,18.83,39.7,1.085750711,1.41
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,21.12267188,30.69573941,10.47,-6.856484807,10.15,-2.91,706.3112773,215.35,213.68,44.62,43.49,16.56,36.43,1.283477545,1.54
77,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,7.023066528,16.3795734,2.342114784,8.06,-7.696337593,7.97,-2.91,712.8028079,249.42,248.8,32.99,57.53,18.42,35.98,1.10824105,1.42
78,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,8.015646473,10.07208766,13.80460418,8.33,19.18224544,8.83,-0.32,498.8840608,258.29,258.29,30.51,63.03,18.05,34.68,1.116259616,1.45
