,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
41,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,21.12267188,30.69573941,10.47,-6.856484807,12.54,10.15,14.16,-3.09,0.0,213.68,15.43,43.49,16.56,82.08246445
42,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,6.030227139,4.111102986,13.73958056,2.61,1.298068675,7.46,9.81,12.98,-0.28,83.08,219.17,53.72,57.21,16.48,82.95625455
43,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,14.30577361,10.7646865,1.82,43.07917217,10.77,12.77,16.99,-0.28,84.14,255.35,62.3,56.79,16.44,88.59203571
44,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,18.19082721,15.20910244,-1.07,30.50368396,12.01,13.51,19.05,0.03,85.34,195.45,34.25,45.28,19.83,106.8301805
45,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.866238169,7.469802391,-3.683470629,2.14,-13.66902279,14.33,18.36,22.43,-3.09,17.36,263.46,1142.61,99.17,27.93,249.0287059
46,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,5.079568924,2.410138672,1.24,-17.1272683,10.9,14.41,17.49,-3.09,12.44,224.59,565.68,80.84,27.93,217.9085835
47,(주)강원랜드,35250,201712,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,5.194032632,7.640002955,-5.426507031,1.76,-14.17986492,10.72,13.0,15.72,-2.33,12.83,317.46,2241.82,77.4,27.93,273.9177633
48,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,2.443170287,-10.37169597,40.64,-18.87320515,7.06,10.23,12.15,-3.05,7.99,276.38,1834.66,64.16,27.93,162.9483288
49,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,3.651801708,5.703599988,-0.9,16.35782737,7.72,11.56,13.72,-2.74,8.46,287.8,255.56,53.57,25.39,176.1451739
50,(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,47.36466589,85.69002802,0.0,76.19348869,10.05,13.01,32.16,-0.73,54.5,144.74,58.37,-5.92,-2.95,185.7486139
51,(주)갤럭시아에스엠,11420,201112,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,28.7682389,15.7754875,10.83353815,12.12,37.16385178,6.45,11.45,20.44,0.97,-7.82,157.27,6.31,30.0,12.57,403.7189189
52,(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,2.505478255,16.30693493,8.11,-59.83667642,0.88,4.72,8.01,0.56,-6.74,183.89,3.79,15.5,5.09,243.02775
53,(주)갤럭시아에스엠,11420,201712,198911,,1,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-14.73788188,-9.705247407,-29.15850432,17.76,4.526226848,-10.9,-6.55,-8.31,-0.03,-24.57,328.78,-21.15,-22.84,-11.51,-2.18984127
54,(주)경농,2100,201112,197706,,0,0,0,제조업,1,-13.26769375,-6.054754713,-15.23268875,-4.94,-45.34691591,0.29,4.42,5.37,0.81,1.98,97.18,4.52,46.0,11.68,93.53707792
55,(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,6.12141086,12.96196018,-0.65,65.83909445,3.83,4.73,8.39,1.33,5.24,38.82,5.6,7.48,6.42,106.6718627
56,(주)경농,2100,201712,197706,,0,0,0,제조업,1,4.661277896,4.448493022,1.249819233,0.9,-7.860416182,3.07,2.57,4.49,1.4,23.34,36.12,2.8,11.07,7.7,133.9497041
57,(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,4.840364542,2.963300803,3.55,74.83590704,1.41,4.26,7.5,1.28,30.49,38.2,5.16,8.48,6.21,134.8708857
58,(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,0.214133864,6.986128122,3.43,-41.15866756,1.1,2.39,4.31,1.61,31.24,41.85,2.2,2.84,2.11,121.0581215
59,(주)경동나비엔,9450,201112,199308,,0,0,0,제조업,1,12.51894039,9.344704821,10.83480968,6.88,-3.313199158,3.77,4.95,7.56,0.07,5.57,84.15,12.0,19.97,5.56,71.81128755
60,(주)경동나비엔,9450,201212,199308,,0,0,0,제조업,1,13.87435129,4.616387393,11.06745296,12.16,12.10645428,3.26,4.95,8.1,0.03,6.49,85.68,11.7,17.42,5.69,69.76091837
61,(주)경동나비엔,9450,201712,199308,,0,0,0,제조업,1,17.20574729,7.431791022,17.38663508,7.03,4.200339602,5.79,10.23,19.29,0.17,8.09,54.82,30.33,16.47,5.95,90.60926154
62,(주)경동나비엔,9450,201812,199308,,0,0,0,제조업,1,15.86242814,9.199423514,6.146203681,10.05,-14.56291653,4.55,7.51,15.21,0.43,10.14,49.78,11.32,0.96,0.4,96.42705499
63,(주)경동나비엔,9450,201912,199308,,0,0,0,제조업,1,4.491554633,7.475450799,6.542777793,8.76,9.859214268,4.67,7.51,15.43,0.46,7.08,50.38,11.06,10.41,4.15,102.5306941
64,(주)경동도시가스,267290,201812,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,9.5721968,8.887311773,84.33079343,0.0,96.89878415,4.59,5.73,13.88,-0.14,10.52,117.83,98.82,15.3,4.36,352.2170758
65,(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,5.966477764,-11.4422898,0.36,-34.23110873,3.22,3.67,8.5,-0.17,7.92,122.62,29.28,18.85,5.44,311.4332734
66,(주)경방,50,201112,195603,,0,0,0,도매 및 소매업,1,-5.543875393,-13.91583703,4.310769767,10.63,-42.15448855,-0.08,1.66,3.51,5.43,88.34,33.38,1.15,-0.29,-0.6,133.6539292
