,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
7120,에스케이렌터카(주),68400,201512,201207,,0,0,0,임대업,1,16.52005193,8.94376528,10.89982296,19.81,-7.951572684,2.71,4.19,8.06,3.45,50.76,32.91,354.57,-7.67,-9.79,575.9772177
7121,에스케이렌터카(주),68400,201612,201207,,0,0,0,임대업,1,11.98446373,3.051910594,2.451738189,-18.95,-18.71751443,1.05,2.99,3.48,3.71,50.76,32.91,393.98,-6.78,-9.66,680.751875
7122,에스케이렌터카(주),68400,201712,201207,,0,0,0,임대업,1,5.08586196,5.090514564,-1.6798072,-7.21,24.9556706,1.93,3.44,5.27,4.02,50.76,32.91,393.95,-6.26,-9.54,680.751875
7123,에스케이렌터카(주),68400,202012,201207,,0,0,0,임대업,1,35.37488075,34.31949252,34.73085624,44.44,70.42598552,2.11,3.66,4.5,4.3,50.76,32.91,380.97,-5.07,-10.35,680.751875
7124,에스케이브로드밴드(주),33630,201112,199811,42186.0,0,0,0,정보통신업,0,5.734176428,-0.094205224,8.149050136,-2.33,123.9388024,-0.62,1.95,-1.28,3.39,54.92,53.25,210.62,14.49,14.53,54.60327031
7125,에스케이브로드밴드(주),33630,201312,199811,42186.0,0,0,0,정보통신업,0,-1.130375957,1.538039844,1.894186196,9.58,-10.2944523,0.48,2.41,0.98,1.82,57.43,54.81,169.98,19.92,15.03,450.8825982
7126,에스케이브로드밴드(주),33630,201412,199811,42186.0,0,0,0,정보통신업,0,2.190584737,-0.533568765,4.529293108,0.51,-20.51386543,0.16,1.89,0.38,1.83,52.64,51.38,177.37,21.91,16.42,439.431343
7127,에스케이씨(주),11790,201112,199707,,0,0,0,제조업,1,15.40968503,7.239505976,3.279084765,17.81,22.81555957,3.16,8.27,11.64,2.15,75.39,48.07,176.66,12.56,10.31,249.5338693
7128,에스케이씨(주),11790,201312,199707,,0,0,0,제조업,1,2.706831685,1.160463091,0.465251266,2.89,-14.32231563,0.97,3.5,4.86,2.8,70.87,42.31,197.46,5.99,5.4,180.4207421
7129,에스케이씨(주),11790,201412,199707,,0,0,0,제조업,1,2.815310528,7.926551076,6.088879263,4.07,22.8827885,1.55,4.19,5.79,2.49,70.6,46.17,183.38,7.11,6.06,208.7992697
7130,에스케이씨(주),11790,201512,199707,,0,0,0,제조업,1,0.039216507,19.62321395,-8.474413999,-8.68,43.10335818,9.58,5.91,20.46,2.29,74.51,47.65,136.98,6.99,5.81,395.4705542
7131,에스케이씨(주),11790,201612,199707,,0,0,0,제조업,1,-4.320739499,-2.080760735,-8.005494428,-19.46,-31.53154942,1.24,4.14,3.01,1.77,92.91,63.53,131.56,8.92,7.58,303.9366771
7132,에스케이씨(주),11790,201712,199707,,0,0,0,제조업,1,3.924018065,4.570723493,12.46500242,-3.75,17.67827671,5.14,4.88,7.71,1.69,74.71,49.79,130.13,11.05,8.64,248.2682047
