,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률
3560,티와이엠(주),2900,201212,197306,,0,0,0,제조업,1,0.24233547338775746,1.0365002599004312,-0.12438220757825369,0.7402597402597402,-0.4467376080034412,1.328137196898258,-0.3697711128650355,-0.4481236203090508,-0.3158452570217277,-0.1903633364177313,-0.22293992337057272,-0.19730941704035887,-0.03125000000000003
3561,티제이미디어(주),32540,201212,199704,,0,0,0,제조업,1,0.8997674905974798,-0.15067284502522169,-0.1392092257001647,-0.538961038961039,-0.06700879552734806,-0.2192652523952221,-0.1535122336227308,-0.41280353200883,0.1197668256491785,-0.4311247125503207,-0.32837547549601304,1.1121076233183858,0.6718749999999999
3562,티제이미디어(주),32540,201812,199704,,0,0,0,제조업,1,-1.1157137825910615,-1.9782528441883986,-0.8237232289950577,-0.06493506493506494,-0.3823795105301647,0.12133755099988468,1.1176006314127862,0.8355408388520971,-0.029146793852676246,-0.5597855187680962,-0.31284685058844197,0.45739910313901355,0.6093749999999999
3563,티제이미디어(주),32540,201912,199704,,0,0,0,제조업,1,0.300745659745819,5.666692715835663,-0.5914332784184514,0.08441558441558442,-0.2453367923821863,-0.2947058019653117,0.4119968429360694,0.3013245033112582,0.06942236354001054,-0.4019093658279545,-0.2966087520286303,0.2914798206278027,0.8593749999999997
3564,티케이지애강(주),22220,201212,200604,,1,1,1,제조업,1,-1.9733886546909971,-1.902268229997201,-1.0321252059308073,1.87012987012987,-0.09951945468368542,-0.34708940104997377,-0.4490923441199684,-0.5573951434878588,-0.5108638049814521,-0.17276931277235402,0.05753983682160758,-0.4798206278026907,-0.42187500000000017
3565,티케이지휴켐스(주),69260,201212,200210,,0,0,0,제조업,1,1.0946220272184688,0.33971314235225114,0.5461285008237232,-0.564935064935065,0.6837379033700155,0.1977685337920663,0.2616416732438832,0.2891832229580574,-0.27556968733439324,4.483895036370415,3.198366138249942,0.06726457399103136,0.35937499999999994
3566,티케이지휴켐스(주),69260,201812,200210,,0,0,0,제조업,1,0.12547337833089303,-0.04558193776154939,1.1738056013179572,-0.6948051948051949,1.6754075671243793,1.1230448482595945,2.2269139700078924,1.3554083885209713,0.302066772655008,6.098842755300924,3.2583573257553904,0.35874439461883406,0.07812499999999972
3567,티케이지휴켐스(주),69260,201912,200210,,0,0,0,제조업,1,-0.886354681474245,-0.21443768443598327,0.6705107084019769,-0.9350649350649352,1.0234612121864008,1.0078433508178386,1.3393843725335437,1.2538631346578366,0.19130895601483835,5.946120742592016,3.5016116504652146,0.2780269058295965,-0.06250000000000006
3568,팅크웨어(주),84730,201212,200605,,0,0,0,제조업,1,-0.5473362214630345,-0.4331594678969769,-0.2108731466227347,-0.17532467532467533,0.1589267299361363,-0.5362226356408107,-0.4593528018942383,-0.5960264900662252,-0.05087440381558034,-0.4062753059039919,-0.5088208355773066,0.452914798206278,0.1718749999999998
3569,팅크웨어(주),84730,201812,200605,,0,0,0,제조업,1,-0.2943474592993322,0.1632055847993468,-0.20016474464579898,-0.13636363636363638,-0.1539071127354675,0.12326269568318426,0.3046566692975533,-0.014348785871964668,-0.20031796502384747,-0.26864135908311265,-0.20078284814839117,0.45739910313901355,0.21874999999999983
3570,팅크웨어(주),84730,201912,200605,,0,0,0,제조업,1,-0.5223969267284518,0.07015333355800255,-0.20181219110378915,-0.25974025974025977,0.0028642493481238593,0.6735155404505648,0.4932912391475928,0.27373068432671077,0.04663487016428188,-0.27973900375187866,-0.20179903851222644,0.38565022421524664,0.06249999999999971
3571,파나케이아(주),58530,201212,200202,,0,0,0,제조업,1,-0.030659376315817347,-0.04536805351571847,0.017298187808896207,3.5259740259740258,-0.4135825548076224,-0.33506016893692264,-0.4080505130228887,-0.4083885209713024,-0.6359300476947537,-0.9173983389848004,-0.290761908240096,-0.6547085201793723,-0.7968750000000002
3572,파나케이아(주),58530,201812,200202,,1,1,1,제조업,1,-1.5599677019864873,0.020728341737070843,-2.2545304777594724,3.7207792207792205,-0.5222680098660081,-0.3213496839778742,-0.8212312549329124,-2.0816777041942602,-1.045045045045045,-1.8668860454611915,1.047056390783697,-0.7488789237668164,-0.8906250000000001
3573,파미셀(주),5690,201212,198805,,0,0,0,제조업,1,0.2001955484985629,0.21402922891488418,-1.8929159802306426,3.7207792207792205,-0.6180616850811159,-0.45696692386958565,-1.2734806629834252,-2.0816777041942602,-1.4753577106518285,-1.8086254311727157,0.7534824505538616,-0.8116591928251123,-1.234375
3574,파미셀(주),5690,201812,198805,,0,0,0,제조업,1,0.42436991559153026,7.390980493740282,-0.5980230642504119,-0.461038961038961,-0.45705703518507795,-0.2855680013052945,-0.2474348855564325,-0.347682119205298,-1.4753577106518285,-1.5891391017528314,-0.2590611432847891,0.2466367713004484,-0.37500000000000017
3575,파미셀(주),5690,201912,198805,,0,0,0,제조업,1,0.5275355904442668,7.390980493740282,-0.3121911037891268,-0.44805194805194803,-0.23937405376089246,-0.31480886901596666,0.07458563535911604,-0.05298013245033117,0.5601483836777953,-0.17714303543343182,-0.2112842390742009,0.18385650224215236,-0.42187500000000017
3576,팜젠사이언스(주),4720,201212,199006,,1,0,1,제조업,1,0.2233464239780799,-0.27665471467622393,-2.2388797364085664,1.6688311688311688,-0.3478289944266565,-0.3401156927891331,-1.2734806629834252,-2.067328918322296,0.1383147853736089,-0.6928243581195813,-0.5859102220790392,-0.2511210762331839,-0.7187500000000001
3577,팬오션(주),28670,201212,200709,,1,0,1,운수 및 창고업,0,-0.4902729640197109,-4.029712818195541,-1.4794069192751236,1.2857142857142856,-1.9326221208115613,-0.49863742736621086,-0.5781373322809786,-0.8774834437086092,-1.195548489666137,-1.395617111511977,2.27839786428263,-0.5739910313901346,0.9218749999999998
3578,퍼스텍(주),10820,201212,198905,,0,0,0,제조업,1,0.24567559511364395,-0.21811432960315333,-0.4019769357495881,0.15584415584415579,-0.25250498238318525,-0.18071693451792525,0.04538279400157855,0.4094922737306843,0.6332803391626921,-0.2597257660859254,-0.42480290826304734,-0.32735426008968627,0.07812499999999972
3579,펌텍코리아(주),251970,201912,201907,,0,0,0,제조업,1,0.60400823671686,0.1627494101672504,1.010708401976936,-0.37012987012987014,1.1201925542324926,0.705570148496334,0.30820836621941594,0.7461368653421632,0.7742448330683623,-0.2548098970636189,-0.42140928499700553,-0.0717488789237669,-0.18750000000000017
3580,페이퍼코리아(주),1020,201212,197605,,0,0,0,제조업,1,-0.035434941841357315,2.043166701090382,0.671334431630972,3.7207792207792205,-0.2709072619112917,-0.2553503171047894,-0.6101026045777427,-1.0485651214128036,0.2363540010598835,1.8874127842199926,1.5026558667743277,-0.6860986547085204,-0.6562500000000002
